YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2003,Colorado Statewide,1800546,0,0,23811,1837,104135,1973622,0.052763396435588986,0,1947974,0
2004,Colorado Statewide,1837352,0,0,34097,1961,102172,2010806,0.05081146565108718,0,1974748,0
2005,Colorado Statewide,1852775,1888157.5748503173,35382.574850317345,84693,3867,111466,2046678,0.38882728367634345,1987534.2893161236,1958118,29416.289316123533
2006,Colorado Statewide,1849895,1906995.7635910662,57100.76359106634,95823,3185,106349,2095235,0.3469986361786054,2007363.9616748067,1996227,11136.961674806742
2007,Colorado Statewide,1861196,1930187.2754500245,68991.2754500245,96629,3409,118093,2127358,0.380796360804521,2031776.0794210786,2027320,4456.07942107851
2008,Colorado Statewide,1898642,1964597.553535064,65955.55353506401,98498,6822,103373,2152124,0.312909286104415,2067997.4247737518,2046804,21193.424773751758
2009,Colorado Statewide,1910173,1989165.7601655258,78992.76016552583,104068,6938,105933,2167902,0.331250564713654,2093858.69491108,2056896,36962.69491107984
2010,Colorado Statewide,1960642,2022678.387735819,62036.387735819124,106422,10830,100704,2214262,0.3048273787763927,2129135.144985073,2097010,32125.144985072977
2011,Colorado Statewide,1975400,2050379.6041682553,74979.60416825516,107906,11441,93616,2224661,0.2599752781382217,2158294.320177111,2105314,52980.320177110916
2012,Colorado Statewide,1996107,2089977.382703005,93870.38270300519,107128,9368,82641,2230536,0.19823348634687996,2199976.1923189526,2114040,85936.19231895277
2013,Colorado Statewide,2002731,2103846.8297574553,101115.82975745531,115279,9305,76173,2247291,0.19649404423754085,2214575.610271006,2122707,91868.61027100586
2014,Colorado Statewide,2039600,2144792.480620594,105192.48062059407,109253,6784,74651,2276280,0.19742233982855203,2257676.2953900993,2160243,97433.29539009911
2015,Colorado Statewide,2074731,2184774.708698173,110043.70869817279,114405,6535,71286,2309122,0.18623950977148215,2299762.851261235,2188182,111580.85126123475
2016,Colorado Statewide,2109050,2227627.0785931814,118577.07859318133,115895,4624,66597,2339140,0.1703182149757464,2344870.609045454,2218621,126249.60904545404
2017,Colorado Statewide,2139167,2268766.5805800394,129599.58058003956,124273,4560,71401,2385495,0.15038714133716025,2388175.347978989,2256662,131513.34797898907
2018,Colorado Statewide,2176768,2312865.0029874193,136097.0029874195,120503,4114,74364,2424128,0.16174675961349416,2434594.7399867573,2299511,135083.73998675743
2019,Colorado Statewide,2235163,2362993.853160424,127830.85316042416,113271,3296,69397,2464109,0.1391077941214881,2487361.9506951836,2347542,139819.95069518348
2020,Colorado Statewide,2205583,2371250.7491232734,165667.74912327342,113422,12000,72390,2437665,0.1629754272373858,2496053.4201297616,2312243,183810.42012976154
2021,Colorado Statewide,2313012,2418398.7862750604,105386.78627506016,103232,12690,74577,2540783,0.1410289144110604,2545682.9329211162,2424861,120821.93292111627
2022,Colorado Statewide,2384564,2480351.0987554225,95787.09875542263,90097,7972,70578,2590205,0.15880926661205058,2610895.893426761,2492136,118759.89342676091
2023,Colorado Statewide,2428261,2510090.302279625,81829.30227962523,94822,7479,68779,2638093,0.16584145816008683,2642200.3181890794,2535792,106408.31818907928
