YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2014,"Colorado Springs, CO",255318,6375.274726621729,267176.16605306213,6050.77122518821,11858.16605306215,8789.536976397983,3665,910.7487597414535,701,497.31738337627223,9463,1596.5209749272976,275214,6757.058343749812,0.034384151969013205,281238.0695295391,11429.66389403481,270848,6836.272766940899,10390.06952953909,13318.102044759258
2014,"Denver-Aurora-Lakewood, CO",1088326,12649.366171044352,1148217.7418989888,11857.189034628265,59891.74189898885,17337.80252315933,9671,1451.9936684358488,2565,778.7777073635294,33137,2868.950465141603,1144970,13090.752299985223,0.02894136964287274,1208650.2546305147,22591.294890563255,1132734,13194.035626381816,75916.25463051465,26161.979683170423
2014,"Fort Collins, CO",125176,4479.2682551832495,130685.7815029895,4269.472449001531,5509.7815029895055,6188.072324615761,5041,965.9321187617103,226.99999999999997,226.9999999982312,4554,1238.0835736040397,138540,4842.649639512321,0.032871372888696404,137563.98052946263,8041.174043396719,133272,4943.258984629826,4291.980529462628,9439.08307969162
2014,"Grand Junction, CO",51862,3238.210662594707,52921.07112128017,3152.0562048537467,1059.071121280172,4519.011685523624,767,454.08186726526634,373,266.6024809407,1552,671.4287969177504,54780,3360.571267498437,0.028331507849580138,55706.39065397913,5852.051742314571,53640,3401.574116340683,2066.390653979128,6768.84155994849
2014,Not in identifiable area,458387,8155.330802565571,483158.43487558234,7975.875195172901,24771.434875582316,11407.190961330014,89929,4059.8150913339496,2759,683.769478779337,23759,2182.36554797963,596685,9565.135727591225,0.03981832960439763,508587.8261848235,14760.63590908162,503997,10413.52297559165,4590.826184823527,18064.26951757654
2014,"Pueblo, CO",60531,2814.514977540988,62633.28516869107,2698.4837464301527,2102.2851686910753,3899.1420964810018,180,139.28380242954475,159,158.9999999981039,2186,641.1041107713356,66091,2990.9253597719544,0.03307560787399192,65929.77386178008,5061.921683787779,65752,2998.3854797783465,177.77386178007873,5883.3125548577245
2015,"Colorado Springs, CO",261458,6452.66812020914,273402.3178039828,5964.018617564997,11944.317803982833,8786.719748587937,4008,885.5505036372103,749,405.57899032141887,11027,1737.1220049435387,281288,6817.127664309324,0.03920181451039504,287791.9134778767,11475.295387107577,276531,6886.357789381392,11260.91347787669,13382.986506185613
2015,"Denver-Aurora-Lakewood, CO",1107696,12662.359062199626,1174852.1260638172,11964.005245606937,67156.12606381714,17420.469526880708,10560,1512.2102887715766,2159,739.2049214634961,27272,2557.451234140445,1160900,13056.320090130914,0.023492118184167455,1236686.4484882287,22669.688734537784,1148181,13164.372304418413,88505.44848822872,26214.795163994087
2015,"Fort Collins, CO",129204,4383.754271881939,136277.51332407937,4034.645430719428,7073.513324079358,5957.82387016168,7969,1349.198578816727,40,39.999999999714724,2132,718.7148697409237,140887,4679.648792391403,0.015132694996699482,143450.0140253467,7786.127786671164,132878,4870.426020915559,10572.014025346696,9183.944443189112
2015,"Grand Junction, CO",51626,3096.609430188921,54331.12095545415,2979.049712123044,2705.120955454148,4296.943931497751,505,364.22079750432437,365,364.9999999952484,1274,573.0949058956013,55435,3274.187376279004,0.022981870659330748,57190.65363732016,5575.243767058779,54565,3314.54141086154,2625.6536373201598,6486.102668509324
2015,Not in identifiable area,466108,8292.005550066184,485389.72615066945,7858.739217823955,19281.726150669438,11424.409750008648,90678,4148.169227431828,3052,761.7486219039034,26873,2328.5740448966126,604528,9682.095804494631,0.04445286239843316,510936.55384281,14859.433489625355,510798,10560.802434938238,138.5538428099826,18230.011291888906
2015,"Pueblo, CO",58639,2699.7532819775747,60521.904400169886,2437.3053863949776,1882.9044001698885,3637.186457978015,685,372.4438628755952,170,140.91836088375243,2708,708.7003879485004,66084,2960.7078191058813,0.040978149022456264,63707.26778965251,4768.060066927148,65229,2987.367269945656,-1521.7322103474871,5626.6117697392165
2016,"Colorado Springs, CO",267599,6441.52170079079,281311.8864744831,6128.32779726752,13712.88647448313,8890.984389398085,4781,1113.7539152722743,223,223.00000000032998,8266,1502.0912936360896,285536,6791.745553325544,0.028949064216070828,296117.77523629804,11557.051317816158,280532,6886.071771692608,15585.775236298039,13453.00782752831
2016,"Denver-Aurora-Lakewood, CO",1124076,12739.813283744505,1190755.515715167,12070.122140598196,66679.51571516696,17549.66355784725,11885,1597.7071746392646,2142,762.8886570607029,28360,2700.763208652399,1177769,13150.050702847551,0.024079424742882518,1253426.8586475442,22827.633870862875,1163742,13268.703810336074,89684.85864754417,26403.77565706452
2016,"Fort Collins, CO",131404,4491.458333377432,138183.3501716354,4300.022558310261,6779.350171635399,6217.989382625439,6971,1131.70117304272,215,215.0000000037265,3181,868.5164813672851,143273,4754.128604762028,0.022202368904120105,145456.1580754057,8074.211876183645,136087,4891.698205703661,9369.158075405692,9440.424183117484
2016,"Grand Junction, CO",53441,3170.990076153141,55236.23654437337,3112.404742196677,1795.2365443733734,4443.224205721569,926,445.27167563862173,NA,NA,907,446.369719810176,57759,3370.6315721529736,0.01570318045672536,58143.406888814076,5746.001322405681,56833,3399.915301933337,1310.4068888140755,6676.522692046234
2016,Not in identifiable area,473058,8227.580886698897,498179.9928135472,7829.0555559786235,25121.9928135472,11357.25310740994,91051,4141.162414209503,1562,497.8375501079386,23127,2162.3210327511088,608163,9628.706218483307,0.038027634038900755,524399.9924353128,14762.394591129376,515550,10493.286034842376,8849.99243531283,18111.80128737128
2016,"Pueblo, CO",59472,2842.6518701751393,63960.09687397527,2756.8673655177545,4488.09687397527,3959.92264142458,281,199.25092826042138,482,291.8042950775067,2756,789.2870176087215,66640,3091.934202809286,0.04135654261704682,67326.41776207923,5131.150533380157,65877,3112.0584495700296,1449.4177620792325,6001.134358581524
2017,"Colorado Springs, CO",268122,6510.35815159041,287054.1654590005,6158.252347165439,18932.165459000502,8961.519694412791,5639,1188.3318929447278,NA,NA,5247,1125.3265230004656,284800,6824.757805182549,0.018423455056179774,302162.2794305269,11659.699206685873,279161,6927.44193676062,23001.27943052689,13562.375801369792
2017,"Denver-Aurora-Lakewood, CO",1140881,12751.945664858244,1213640.2100196688,11924.095080549725,72759.21001966874,17458.41234847794,13058,1722.1218182767925,2508,835.7824918823205,38275,3066.276751190149,1205162,13243.94222265907,0.03175921577348108,1277516.0105470198,22757.50230853496,1189596,13381.563493398431,87920.01054701977,26400.192288141156
2017,"Fort Collins, CO",134709,4553.917860614839,141393.7464857883,4327.346078025129,6684.746485788291,6282.045205203978,7649,1339.6892792846877,303,302.999999999078,3791,883.0354468458617,148552,4902.64398963871,0.02551968334320642,148835.52261661924,8167.380552385366,140600,5091.413797185447,8235.522616619244,9624.3752805911
2017,"Grand Junction, CO",54980,3127.939657128549,56815.894665250475,2922.438259289412,1835.8946652504776,4280.730297273584,508,328.8491172232531,114,114.0000000021644,1637,674.7126575869912,58443,3269.1150484367786,0.02801019797067228,59806.20491078997,5580.7999284282805,57821,3287.590446180121,1985.204910789973,6477.158233589782
